issue_id,issue_type,story_points,assignee_id
BP-0001,Bug,0,U028
BP-0002,Story,8,U009
BP-0003,Bug,0,U001
BP-0004,Bug,0,U026
BP-0005,Bug,0,U019
BP-0006,Tech Debt,3,U028
BP-0007,Bug,0,U029
BP-0008,Story,2,U005
BP-0009,Story,8,U003
BP-0010,Bug,0,U012
BP-0011,Story,2,U014
BP-0012,Bug,0,U030
BP-0013,Story,2,U011
BP-0014,Tech Debt,1,U026
BP-0015,Story,5,U012
BP-0016,Story,8,U028
BP-0017,Story,5,U025
BP-0018,Tech Debt,2,U025
BP-0019,Bug,0,U012
BP-0020,Story,1,U022
BP-0021,Story,5,U006
BP-0022,Bug,0,U014
BP-0023,Story,5,U001
BP-0024,Bug,0,U028
BP-0025,Story,5,U013
BP-0026,Story,2,U021
BP-0027,Story,2,U029
BP-0028,Story,5,U020
BP-0029,Story,3,U020
BP-0030,Story,2,U020
BP-0031,Story,5,U027
BP-0032,Story,3,U022
BP-0033,Story,1,U009
BP-0034,Story,8,U018
BP-0035,Tech Debt,2,U002
BP-0036,Story,3,U017
BP-0037,Bug,0,U021
BP-0038,Story,2,U030
BP-0039,Story,2,U006
BP-0040,Bug,0,U003
BP-0041,Bug,0,U030
BP-0042,Story,2,U021
BP-0043,Story,5,U013
BP-0044,Story,3,U005
BP-0045,Story,3,U022
BP-0046,Story,8,U022
BP-0047,Story,1,U009
BP-0048,Bug,0,U014
BP-0049,Story,3,U022
BP-0050,Tech Debt,8,U022
BP-0051,Bug,0,U018
BP-0052,Tech Debt,2,U018
BP-0053,Story,1,U026
BP-0054,Tech Debt,2,U019
BP-0055,Story,1,U010
BP-0056,Story,5,U026
BP-0057,Bug,0,U010
BP-0058,Tech Debt,5,U010
BP-0059,Story,5,U028
BP-0060,Story,5,U027
BP-0061,Story,3,U009
BP-0062,Story,3,U013
BP-0063,Bug,0,U003
BP-0064,Bug,0,U028
BP-0065,Story,1,U009
BP-0066,Story,1,U025
BP-0067,Story,8,U028
BP-0068,Story,3,U017
BP-0069,Story,3,U001
BP-0070,Story,5,U028
BP-0071,Story,3,U020
BP-0072,Tech Debt,1,U021
BP-0073,Tech Debt,5,U009
BP-0074,Bug,0,U002
BP-0075,Bug,0,U003
BP-0076,Tech Debt,1,U022
BP-0077,Tech Debt,1,U009
BP-0078,Bug,0,U001
BP-0079,Story,3,U028
BP-0080,Story,8,U002
BP-0081,Story,3,U026
BP-0082,Bug,0,U010
BP-0083,Story,1,U017
BP-0084,Story,1,U005
BP-0085,Story,5,U018
BP-0086,Bug,0,U006
BP-0087,Bug,0,U021
BP-0088,Tech Debt,3,U013
BP-0089,Story,1,U010
BP-0090,Bug,0,U005
BP-0091,Story,1,U012
BP-0092,Tech Debt,5,U003
BP-0093,Story,1,U025
BP-0094,Story,5,U006
BP-0095,Tech Debt,5,U030
BP-0096,Story,3,U022
BP-0097,Bug,0,U005
BP-0098,Story,2,U003
BP-0099,Story,1,U017
BP-0100,Story,1,U028
BP-0101,Bug,0,U028
BP-0102,Story,3,U013
BP-0103,Story,8,U018
BP-0104,Bug,0,U021
BP-0105,Story,2,U009
BP-0106,Story,1,U013
BP-0107,Story,1,U011
BP-0108,Story,2,U013
BP-0109,Story,5,U030
BP-0110,Bug,0,U010
BP-0111,Story,2,U010
BP-0112,Story,8,U028
BP-0113,Story,2,U001
BP-0114,Tech Debt,5,U021
BP-0115,Story,5,U009
BP-0116,Bug,0,U001
BP-0117,Story,5,U003
BP-0118,Tech Debt,5,U030
BP-0119,Tech Debt,3,U022
BP-0120,Bug,0,U006
BP-0121,Bug,0,U011
BP-0122,Bug,0,U010
BP-0123,Tech Debt,3,U022
BP-0124,Story,5,U017
BP-0125,Story,1,U011
BP-0126,Bug,0,U006
BP-0127,Story,8,U002
BP-0128,Story,1,U010
BP-0129,Story,1,U030
BP-0130,Bug,0,U025
BP-0131,Story,3,U010
BP-0132,Tech Debt,2,U017
BP-0133,Story,5,U019
BP-0134,Story,5,U020
BP-0135,Bug,0,U002
BP-0136,Story,3,U009
BP-0137,Story,2,U025
BP-0138,Story,8,U012
BP-0139,Story,1,U014
BP-0140,Story,2,U009
BP-0141,Story,5,U021
BP-0142,Story,2,U019
BP-0143,Story,5,U003
BP-0144,Bug,0,U018
BP-0145,Bug,0,U022
BP-0146,Story,2,U003
BP-0147,Story,8,U010
BP-0148,Tech Debt,8,U002
BP-0149,Bug,0,U011
BP-0150,Story,1,U029
BP-0151,Bug,0,U012
BP-0152,Story,8,U001
BP-0153,Bug,0,U021
BP-0154,Story,3,U004
BP-0155,Story,2,U001
BP-0156,Bug,0,U011
BP-0157,Story,2,U029
BP-0158,Story,8,U017
BP-0159,Story,5,U004
BP-0160,Story,1,U005
BP-0161,Story,2,U021
BP-0162,Story,5,U019
BP-0163,Story,5,U027
BP-0164,Story,2,U025
BP-0165,Story,5,U029
BP-0166,Story,2,U006
BP-0167,Story,3,U014
BP-0168,Story,1,U002
BP-0169,Story,3,U005
BP-0170,Story,5,U014
BP-0171,Story,3,U010
BP-0172,Story,8,U009
BP-0173,Story,1,U020
BP-0174,Bug,0,U010
BP-0175,Bug,0,U001
BP-0176,Tech Debt,2,U029
BP-0177,Tech Debt,5,U009
BP-0178,Story,1,U014
BP-0179,Story,1,U017
BP-0180,Story,5,U018
BP-0181,Tech Debt,8,U005
BP-0182,Story,8,U014
BP-0183,Story,8,U013
BP-0184,Story,8,U030
BP-0185,Bug,0,U025
BP-0186,Story,2,U028
BP-0187,Story,3,U027
BP-0188,Story,1,U027
BP-0189,Bug,0,U006
BP-0190,Story,2,U009
BP-0191,Bug,0,U020
BP-0192,Bug,0,U006
BP-0193,Tech Debt,8,U004
BP-0194,Story,1,U004
BP-0195,Story,2,U011
BP-0196,Story,8,U005
BP-0197,Story,2,U009
BP-0198,Bug,0,U013
BP-0199,Story,8,U013
BP-0200,Tech Debt,3,U013
BP-0201,Bug,0,U014
BP-0202,Bug,0,U001
BP-0203,Story,5,U011
BP-0204,Story,5,U005
BP-0205,Bug,0,U003
BP-0206,Story,3,U021
BP-0207,Tech Debt,8,U028
BP-0208,Story,8,U021
BP-0209,Tech Debt,5,U012
BP-0210,Story,5,U002
BP-0211,Story,8,U025
BP-0212,Bug,0,U030
BP-0213,Bug,0,U019
BP-0214,Story,8,U030
BP-0215,Story,2,U020
BP-0216,Story,1,U005
BP-0217,Bug,0,U006
BP-0218,Tech Debt,2,U010
BP-0219,Bug,0,U009
BP-0220,Bug,0,U010
BP-0221,Story,1,U028
BP-0222,Bug,0,U011
BP-0223,Story,3,U019
BP-0224,Bug,0,U001
BP-0225,Story,2,U010
BP-0226,Story,5,U017
BP-0227,Story,3,U004
BP-0228,Bug,0,U022
BP-0229,Story,8,U018
BP-0230,Story,1,U027
BP-0231,Story,5,U021
BP-0232,Bug,0,U018
BP-0233,Story,1,U013
BP-0234,Story,3,U003
BP-0235,Story,8,U013
BP-0236,Bug,0,U027
BP-0237,Bug,0,U009
BP-0238,Story,1,U014
BP-0239,Story,3,U030
BP-0240,Story,5,U017
BP-0241,Tech Debt,3,U013
BP-0242,Bug,0,U018
BP-0243,Story,3,U005
BP-0244,Story,3,U029
BP-0245,Tech Debt,3,U030
BP-0246,Tech Debt,2,U006
BP-0247,Bug,0,U002
BP-0248,Story,5,U012
BP-0249,Story,8,U029
BP-0250,Tech Debt,2,U026
BP-0251,Story,1,U017
BP-0252,Story,1,U012
BP-0253,Story,8,U009
BP-0254,Story,8,U011
BP-0255,Story,8,U004
BP-0256,Story,2,U001
BP-0257,Story,2,U014
BP-0258,Tech Debt,5,U020
BP-0259,Story,8,U018
BP-0260,Bug,0,U029
BP-0261,Story,2,U030
BP-0262,Bug,0,U020
BP-0263,Tech Debt,3,U026
BP-0264,Story,2,U006
BP-0265,Story,1,U020
BP-0266,Bug,0,U003
BP-0267,Story,3,U003
BP-0268,Bug,0,U018
BP-0269,Story,3,U025
BP-0270,Bug,0,U014
BP-0271,Tech Debt,3,U010
BP-0272,Story,1,U003
BP-0273,Bug,0,U020
BP-0274,Bug,0,U002
BP-0275,Story,2,U026
BP-0276,Tech Debt,2,U020
BP-0277,Bug,0,U009
BP-0278,Bug,0,U012
BP-0279,Story,1,U003
BP-0280,Story,5,U027
BP-0281,Tech Debt,1,U017
BP-0282,Story,8,U026
BP-0283,Story,5,U021
BP-0284,Story,3,U019
BP-0285,Bug,0,U014
BP-0286,Story,5,U012
BP-0287,Story,1,U020
BP-0288,Story,5,U002
BP-0289,Story,1,U002
BP-0290,Bug,0,U010
BP-0291,Story,5,U017
BP-0292,Story,1,U021
BP-0293,Bug,0,U006
BP-0294,Tech Debt,5,U022
BP-0295,Bug,0,U018
BP-0296,Story,8,U005
BP-0297,Bug,0,U025
BP-0298,Tech Debt,1,U022
BP-0299,Story,1,U003
BP-0300,Bug,0,U001
BP-0301,Story,2,U019
BP-0302,Story,8,U019
BP-0303,Story,3,U029
BP-0304,Story,2,U019
BP-0305,Story,5,U002
BP-0306,Story,5,U003
BP-0307,Story,2,U011
BP-0308,Story,5,U010
BP-0309,Story,2,U030
BP-0310,Tech Debt,2,U006
BP-0311,Bug,0,U002
BP-0312,Story,8,U025
BP-0313,Story,5,U009
BP-0314,Story,5,U026
BP-0315,Story,2,U011
BP-0316,Story,3,U009
BP-0317,Story,1,U005
BP-0318,Story,8,U004
BP-0319,Tech Debt,2,U014
BP-0320,Story,5,U013
BP-0321,Tech Debt,2,U028
BP-0322,Story,1,U012
BP-0323,Story,5,U018
BP-0324,Story,3,U002
BP-0325,Story,2,U027
BP-0326,Bug,0,U011
BP-0327,Story,1,U018
BP-0328,Story,8,U006
BP-0329,Story,2,U012
BP-0330,Bug,0,U005
BP-0331,Story,3,U028
BP-0332,Story,5,U014
BP-0333,Story,1,U014
BP-0334,Story,8,U011
BP-0335,Story,5,U006
BP-0336,Tech Debt,8,U005
BP-0337,Story,1,U028
BP-0338,Tech Debt,2,U025
BP-0339,Tech Debt,8,U018
BP-0340,Story,2,U006
BP-0341,Bug,0,U030
BP-0342,Tech Debt,1,U022
BP-0343,Story,1,U022
BP-0344,Bug,0,U003
BP-0345,Tech Debt,2,U019
BP-0346,Story,8,U012
BP-0347,Tech Debt,8,U018
BP-0348,Story,8,U002
BP-0349,Bug,0,U011
BP-0350,Story,8,U009
BP-0351,Story,2,U020
BP-0352,Story,5,U004
BP-0353,Bug,0,U005
BP-0354,Story,8,U006
BP-0355,Bug,0,U014
BP-0356,Bug,0,U020
BP-0357,Tech Debt,3,U013
BP-0358,Story,5,U020
BP-0359,Bug,0,U028
BP-0360,Bug,0,U010
BP-0361,Story,3,U020
BP-0362,Story,5,U006
BP-0363,Story,1,U027
BP-0364,Story,1,U002
BP-0365,Story,8,U002
BP-0366,Story,5,U028
BP-0367,Story,8,U011
BP-0368,Story,5,U006
BP-0369,Story,1,U026
BP-0370,Story,2,U009
BP-0371,Story,2,U014
BP-0372,Bug,0,U002
BP-0373,Story,3,U027
BP-0374,Story,8,U017
BP-0375,Tech Debt,5,U026
BP-0376,Story,8,U002
BP-0377,Bug,0,U014
BP-0378,Bug,0,U003
BP-0379,Bug,0,U025
BP-0380,Story,2,U019
BP-0381,Bug,0,U009
BP-0382,Tech Debt,2,U002
BP-0383,Bug,0,U010
BP-0384,Story,8,U012
BP-0385,Story,8,U012
BP-0386,Bug,0,U002
BP-0387,Story,5,U018
BP-0388,Tech Debt,1,U013
BP-0389,Story,2,U004
BP-0390,Story,2,U018
BP-0391,Tech Debt,2,U002
BP-0392,Bug,0,U005
BP-0393,Story,2,U020
BP-0394,Story,3,U027
BP-0395,Story,3,U013
BP-0396,Story,2,U006
BP-0397,Bug,0,U030
BP-0398,Story,2,U014
BP-0399,Story,1,U028
BP-0400,Bug,0,U006
BP-0401,Story,8,U021
BP-0402,Bug,0,U010
BP-0403,Story,5,U002
BP-0404,Tech Debt,1,U004
BP-0405,Story,3,U018
BP-0406,Story,1,U013
BP-0407,Story,1,U009
BP-0408,Story,3,U021
BP-0409,Tech Debt,5,U006
BP-0410,Tech Debt,3,U025
BP-0411,Tech Debt,5,U014
BP-0412,Bug,0,U005
BP-0413,Bug,0,U020
BP-0414,Story,1,U004
BP-0415,Tech Debt,5,U003
BP-0416,Bug,0,U003
BP-0417,Story,1,U030
BP-0418,Story,2,U030
BP-0419,Tech Debt,2,U017
BP-0420,Story,3,U013
BP-0421,Story,2,U004
BP-0422,Bug,0,U001
BP-0423,Story,8,U028
BP-0424,Story,3,U019
BP-0425,Story,1,U029
BP-0426,Story,2,U001
BP-0427,Story,3,U011
BP-0428,Bug,0,U022
BP-0429,Story,8,U021
BP-0430,Story,2,U018
BP-0431,Tech Debt,3,U022
BP-0432,Bug,0,U013
BP-0433,Bug,0,U020
BP-0434,Bug,0,U027
BP-0435,Tech Debt,8,U012
BP-0436,Tech Debt,2,U001
BP-0437,Bug,0,U009
BP-0438,Story,8,U011
BP-0439,Bug,0,U025
BP-0440,Story,5,U018
BP-0441,Story,2,U012
BP-0442,Story,5,U029
BP-0443,Bug,0,U014
BP-0444,Bug,0,U003
BP-0445,Bug,0,U025
BP-0446,Story,2,U009
BP-0447,Story,3,U011
BP-0448,Story,3,U011
BP-0449,Tech Debt,1,U028
BP-0450,Story,3,U020
BP-0451,Story,8,U018
BP-0452,Story,5,U013
BP-0453,Story,1,U026
BP-0454,Story,5,U006
BP-0455,Bug,0,U010
BP-0456,Story,2,U018
BP-0457,Story,8,U029
BP-0458,Story,5,U013
BP-0459,Bug,0,U011
BP-0460,Tech Debt,3,U001
BP-0461,Story,3,U001
BP-0462,Story,3,U030
BP-0463,Bug,0,U010
BP-0464,Tech Debt,5,U027
BP-0465,Story,1,U028
BP-0466,Bug,0,U013
BP-0467,Tech Debt,3,U011
BP-0468,Bug,0,U003
BP-0469,Story,2,U014
BP-0470,Story,3,U005
BP-0471,Bug,0,U004
BP-0472,Bug,0,U026
BP-0473,Tech Debt,5,U002
BP-0474,Tech Debt,5,U010
BP-0475,Tech Debt,5,U018
BP-0476,Story,2,U029
BP-0477,Story,8,U022
BP-0478,Story,8,U005
BP-0479,Story,3,U019
BP-0480,Story,3,U022
BP-0481,Story,5,U013
BP-0482,Story,3,U003
BP-0483,Bug,0,U026
BP-0484,Bug,0,U002
BP-0485,Bug,0,U004
BP-0486,Bug,0,U002
BP-0487,Story,8,U021
BP-0488,Story,3,U025
BP-0489,Story,3,U002
BP-0490,Story,1,U019
BP-0491,Story,8,U011
BP-0492,Tech Debt,5,U029
BP-0493,Bug,0,U029
BP-0494,Bug,0,U018
BP-0495,Story,5,U027
BP-0496,Story,8,U013
BP-0497,Story,2,U001
BP-0498,Story,2,U028
BP-0499,Bug,0,U020
BP-0500,Story,5,U014
BP-0501,Story,5,U011
BP-0502,Tech Debt,8,U011
BP-0503,Story,3,U017
BP-0504,Story,8,U019
BP-0505,Story,5,U019
BP-0506,Bug,0,U009
BP-0507,Bug,0,U002
BP-0508,Bug,0,U014
BP-0509,Story,5,U017
BP-0510,Bug,0,U022
BP-0511,Story,1,U012
BP-0512,Story,5,U029
BP-0513,Bug,0,U021
BP-0514,Story,2,U018
BP-0515,Story,1,U027
BP-0516,Tech Debt,5,U027
BP-0517,Bug,0,U003
BP-0518,Bug,0,U028
BP-0519,Story,5,U021
BP-0520,Tech Debt,2,U011
BP-0521,Tech Debt,8,U022
BP-0522,Story,8,U028
BP-0523,Story,2,U001
BP-0524,Story,5,U014
BP-0525,Story,3,U030
BP-0526,Story,1,U010
BP-0527,Tech Debt,2,U026
BP-0528,Story,8,U025
BP-0529,Story,2,U030
BP-0530,Story,3,U028
BP-0531,Story,1,U012
BP-0532,Story,5,U029
BP-0533,Story,1,U027
BP-0534,Bug,0,U027
BP-0535,Tech Debt,5,U014
BP-0536,Bug,0,U014
BP-0537,Story,3,U006
BP-0538,Bug,0,U019
BP-0539,Tech Debt,5,U005
BP-0540,Bug,0,U013
BP-0541,Story,1,U001
BP-0542,Story,1,U027
BP-0543,Story,3,U006
BP-0544,Tech Debt,8,U003
BP-0545,Bug,0,U026
BP-0546,Story,1,U013
BP-0547,Tech Debt,1,U012
BP-0548,Story,2,U010
BP-0549,Bug,0,U009
BP-0550,Story,8,U001
BP-0551,Story,5,U026
BP-0552,Bug,0,U028
BP-0553,Story,5,U001
BP-0554,Bug,0,U011
BP-0555,Story,2,U021
BP-0556,Story,8,U029
BP-0557,Tech Debt,2,U012
BP-0558,Story,8,U026
BP-0559,Tech Debt,1,U004
BP-0560,Tech Debt,8,U014
BP-0561,Story,5,U019
BP-0562,Tech Debt,5,U014
BP-0563,Story,1,U014
BP-0564,Story,5,U021
BP-0565,Bug,0,U005
BP-0566,Bug,0,U002
BP-0567,Story,1,U001
BP-0568,Bug,0,U006
BP-0569,Bug,0,U021
BP-0570,Story,5,U003
BP-0571,Story,5,U017
BP-0572,Tech Debt,3,U027
BP-0573,Story,1,U022
BP-0574,Story,8,U027
BP-0575,Bug,0,U027
BP-0576,Bug,0,U020
BP-0577,Bug,0,U003
BP-0578,Story,8,U026
BP-0579,Story,1,U022
BP-0580,Story,3,U010
BP-0581,Tech Debt,8,U018
BP-0582,Bug,0,U011
BP-0583,Story,1,U026
BP-0584,Story,5,U006
BP-0585,Bug,0,U028
BP-0586,Story,1,U001
BP-0587,Bug,0,U005
BP-0588,Story,1,U003
BP-0589,Story,5,U017
BP-0590,Tech Debt,3,U018
BP-0591,Story,2,U006
BP-0592,Bug,0,U011
BP-0593,Story,5,U003
BP-0594,Story,8,U014
BP-0595,Story,1,U005
BP-0596,Tech Debt,1,U017
BP-0597,Story,2,U004
BP-0598,Story,5,U017
BP-0599,Tech Debt,1,U001
BP-0600,Bug,0,U001
BP-0601,Tech Debt,8,U030
BP-0602,Story,8,U026
BP-0603,Story,3,U020
BP-0604,Bug,0,U017
BP-0605,Story,1,U006
BP-0606,Story,3,U014
BP-0607,Story,5,U028
BP-0608,Story,3,U027
BP-0609,Story,1,U005
BP-0610,Bug,0,U014
BP-0611,Story,5,U027
BP-0612,Story,2,U013
BP-0613,Tech Debt,2,U026
BP-0614,Bug,0,U010
BP-0615,Bug,0,U003
BP-0616,Story,8,U027
BP-0617,Story,5,U013
BP-0618,Tech Debt,5,U028
BP-0619,Story,8,U010
BP-0620,Story,5,U021
BP-0621,Story,5,U017
BP-0622,Bug,0,U001
BP-0623,Story,5,U013
BP-0624,Bug,0,U020
BP-0625,Story,3,U028
BP-0626,Bug,0,U009
BP-0627,Bug,0,U009
BP-0628,Tech Debt,2,U012
BP-0629,Story,3,U010
BP-0630,Bug,0,U005
BP-0631,Story,2,U018
BP-0632,Story,8,U029
BP-0633,Story,2,U003
BP-0634,Bug,0,U001
BP-0635,Story,2,U026
BP-0636,Tech Debt,1,U026
BP-0637,Story,8,U030
BP-0638,Story,2,U018
BP-0639,Story,5,U005
BP-0640,Story,2,U027
BP-0641,Bug,0,U030
BP-0642,Bug,0,U005
BP-0643,Bug,0,U005
BP-0644,Story,8,U026
BP-0645,Story,8,U011
BP-0646,Tech Debt,8,U028
BP-0647,Tech Debt,8,U011
BP-0648,Story,8,U010
BP-0649,Bug,0,U028
BP-0650,Story,2,U005
BP-0651,Tech Debt,8,U009
BP-0652,Bug,0,U010
BP-0653,Tech Debt,3,U018
BP-0654,Story,1,U012
BP-0655,Bug,0,U002
BP-0656,Bug,0,U006
BP-0657,Tech Debt,1,U028
BP-0658,Story,1,U012
BP-0659,Tech Debt,2,U025
BP-0660,Bug,0,U028
BP-0661,Story,8,U028
BP-0662,Story,3,U021
BP-0663,Story,8,U030
BP-0664,Story,5,U028
BP-0665,Story,2,U029
BP-0666,Bug,0,U011
BP-0667,Bug,0,U004
BP-0668,Story,5,U026
BP-0669,Bug,0,U004
BP-0670,Tech Debt,8,U010
BP-0671,Story,1,U022
BP-0672,Story,3,U003
BP-0673,Bug,0,U030
BP-0674,Story,2,U005
BP-0675,Story,5,U011
BP-0676,Story,3,U025
BP-0677,Story,3,U022
BP-0678,Tech Debt,8,U026
BP-0679,Story,8,U028
BP-0680,Story,8,U020
BP-0681,Tech Debt,3,U002
BP-0682,Bug,0,U026
BP-0683,Story,8,U010
BP-0684,Story,8,U014
BP-0685,Story,1,U025
BP-0686,Story,1,U025
BP-0687,Story,3,U013
BP-0688,Story,1,U028
BP-0689,Story,5,U006
BP-0690,Bug,0,U002
BP-0691,Bug,0,U030
BP-0692,Story,8,U009
BP-0693,Bug,0,U021
BP-0694,Bug,0,U026
BP-0695,Story,2,U019
BP-0696,Bug,0,U027
BP-0697,Bug,0,U029
BP-0698,Bug,0,U001
BP-0699,Bug,0,U003
BP-0700,Tech Debt,1,U018
BP-0701,Tech Debt,8,U022
BP-0702,Tech Debt,5,U020
BP-0703,Story,2,U014
BP-0704,Story,5,U029
BP-0705,Story,5,U002
BP-0706,Tech Debt,3,U004
BP-0707,Bug,0,U025
BP-0708,Story,8,U021
BP-0709,Bug,0,U017
BP-0710,Story,5,U030
BP-0711,Tech Debt,5,U018
BP-0712,Story,2,U021
BP-0713,Story,1,U030
BP-0714,Story,3,U014
BP-0715,Story,1,U011
BP-0716,Story,5,U022
BP-0717,Story,1,U028
BP-0718,Story,2,U013
BP-0719,Story,1,U025
BP-0720,Story,1,U013
BP-0721,Story,3,U004
BP-0722,Bug,0,U003
BP-0723,Story,2,U002
BP-0724,Tech Debt,5,U029
BP-0725,Story,2,U022
BP-0726,Story,3,U019
BP-0727,Story,2,U030
BP-0728,Story,5,U019
BP-0729,Story,1,U018
BP-0730,Story,1,U006
BP-0731,Story,3,U029
BP-0732,Bug,0,U014
BP-0733,Tech Debt,3,U010
BP-0734,Story,5,U009
BP-0735,Story,8,U014
BP-0736,Story,5,U014
BP-0737,Tech Debt,3,U020
BP-0738,Story,2,U002
BP-0739,Story,8,U028
BP-0740,Bug,0,U019
BP-0741,Story,8,U027
BP-0742,Story,5,U003
BP-0743,Tech Debt,2,U010
BP-0744,Story,8,U018
BP-0745,Bug,0,U003
BP-0746,Story,3,U011
BP-0747,Story,8,U003
BP-0748,Story,5,U001
