issue_id,issue_type,story_points,assignee_id
BP-0749,Story,3,U011
BP-0750,Story,3,U030
BP-0751,Bug,0,U010
BP-0752,Story,2,U021
BP-0753,Bug,0,U010
BP-0754,Story,1,U019
BP-0755,Tech Debt,8,U025
BP-0756,Bug,0,U026
BP-0757,Story,3,U005
BP-0758,Story,2,U018
BP-0759,Story,1,U004
BP-0760,Story,1,U003
BP-0761,Story,8,U022
BP-0762,Story,1,U030
BP-0763,Bug,0,U005
BP-0764,Bug,0,U029
BP-0765,Story,2,U002
BP-0766,Story,8,U026
BP-0767,Tech Debt,1,U018
BP-0768,Story,1,U017
BP-0769,Bug,0,U002
BP-0770,Bug,0,U002
BP-0771,Story,3,U013
BP-0772,Story,3,U017
BP-0773,Bug,0,U011
BP-0774,Story,8,U019
BP-0775,Tech Debt,1,U017
BP-0776,Tech Debt,2,U004
BP-0777,Bug,0,U021
BP-0778,Story,1,U012
BP-0779,Story,5,U021
BP-0780,Story,5,U028
BP-0781,Bug,0,U011
BP-0782,Tech Debt,1,U026
BP-0783,Story,1,U005
BP-0784,Story,5,U001
BP-0785,Story,2,U001
BP-0786,Story,5,U014
BP-0787,Tech Debt,1,U022
BP-0788,Tech Debt,5,U005
BP-0789,Story,8,U030
BP-0790,Tech Debt,2,U001
BP-0791,Bug,0,U029
BP-0792,Story,8,U012
BP-0793,Story,2,U005
BP-0794,Story,1,U005
BP-0795,Story,1,U021
BP-0796,Tech Debt,8,U011
BP-0797,Bug,0,U002
BP-0798,Story,5,U005
BP-0799,Story,5,U027
BP-0800,Bug,0,U006
BP-0801,Story,8,U006
BP-0802,Bug,0,U030
BP-0803,Story,3,U020
BP-0804,Bug,0,U013
BP-0805,Story,3,U001
BP-0806,Story,3,U006
BP-0807,Bug,0,U010
BP-0808,Story,2,U006
BP-0809,Story,1,U001
BP-0810,Story,5,U009
BP-0811,Story,8,U004
BP-0812,Bug,0,U026
BP-0813,Story,5,U026
BP-0814,Story,1,U027
BP-0815,Story,1,U011
BP-0816,Tech Debt,3,U014
BP-0817,Story,3,U019
BP-0818,Story,2,U009
BP-0819,Tech Debt,2,U022
BP-0820,Story,5,U019
BP-0821,Story,2,U030
BP-0822,Bug,0,U004
BP-0823,Story,5,U022
BP-0824,Tech Debt,5,U001
BP-0825,Story,5,U003
BP-0826,Story,5,U025
BP-0827,Story,5,U021
BP-0828,Story,1,U012
BP-0829,Story,1,U027
BP-0830,Story,3,U027
BP-0831,Bug,0,U019
BP-0832,Story,1,U010
BP-0833,Story,2,U017
BP-0834,Story,5,U006
BP-0835,Bug,0,U005
BP-0836,Story,1,U005
BP-0837,Story,3,U029
BP-0838,Bug,0,U027
BP-0839,Story,3,U020
BP-0840,Bug,0,U012
BP-0841,Story,3,U012
BP-0842,Story,8,U009
BP-0843,Bug,0,U028
BP-0844,Bug,0,U025
BP-0845,Story,2,U013
BP-0846,Story,1,U022
BP-0847,Story,5,U010
BP-0848,Story,1,U002
BP-0849,Story,2,U019
BP-0850,Tech Debt,1,U009
BP-0851,Story,1,U030
BP-0852,Tech Debt,5,U012
BP-0853,Bug,0,U003
BP-0854,Story,8,U014
BP-0855,Tech Debt,3,U027
BP-0856,Story,1,U006
BP-0857,Story,5,U019
BP-0858,Tech Debt,2,U017
BP-0859,Tech Debt,5,U003
BP-0860,Bug,0,U001
BP-0861,Tech Debt,5,U003
BP-0862,Story,1,U029
BP-0863,Story,3,U026
BP-0864,Tech Debt,8,U014
BP-0865,Story,1,U005
BP-0866,Tech Debt,2,U004
BP-0867,Story,8,U014
BP-0868,Story,3,U020
BP-0869,Bug,0,U020
BP-0870,Story,2,U017
BP-0871,Story,2,U028
BP-0872,Story,3,U012
BP-0873,Story,8,U018
BP-0874,Story,3,U025
BP-0875,Story,2,U028
BP-0876,Tech Debt,8,U030
BP-0877,Story,8,U010
BP-0878,Bug,0,U006
BP-0879,Story,1,U013
BP-0880,Story,1,U019
BP-0881,Story,1,U027
BP-0882,Bug,0,U013
BP-0883,Story,2,U004
BP-0884,Tech Debt,1,U010
BP-0885,Story,5,U004
BP-0886,Tech Debt,5,U018
BP-0887,Tech Debt,3,U027
BP-0888,Story,1,U020
BP-0889,Tech Debt,1,U017
BP-0890,Story,1,U006
BP-0891,Story,3,U021
BP-0892,Story,5,U028
BP-0893,Bug,0,U027
BP-0894,Bug,0,U003
BP-0895,Bug,0,U030
BP-0896,Tech Debt,3,U019
BP-0897,Story,2,U001
BP-0898,Story,3,U028
BP-0899,Story,3,U005
BP-0900,Story,2,U014
BP-0901,Story,1,U017
BP-0902,Story,3,U028
BP-0903,Tech Debt,2,U026
BP-0904,Story,8,U022
BP-0905,Story,2,U001
BP-0906,Story,3,U005
BP-0907,Story,5,U012
BP-0908,Tech Debt,5,U028
BP-0909,Story,3,U004
BP-0910,Story,3,U009
BP-0911,Story,1,U004
BP-0912,Story,2,U003
BP-0913,Story,8,U018
BP-0914,Story,3,U019
BP-0915,Tech Debt,3,U003
BP-0916,Story,1,U010
BP-0917,Bug,0,U030
BP-0918,Story,3,U028
BP-0919,Story,5,U003
BP-0920,Bug,0,U002
BP-0921,Tech Debt,3,U019
BP-0922,Story,3,U019
BP-0923,Tech Debt,8,U029
BP-0924,Story,3,U028
BP-0925,Story,2,U003
BP-0926,Story,5,U025
BP-0927,Bug,0,U027
BP-0928,Story,3,U029
BP-0929,Story,8,U021
BP-0930,Story,2,U002
BP-0931,Bug,0,U003
BP-0932,Story,8,U018
BP-0933,Story,3,U018
BP-0934,Story,2,U003
BP-0935,Story,5,U027
BP-0936,Bug,0,U011
BP-0937,Story,5,U002
BP-0938,Story,3,U027
BP-0939,Story,5,U017
BP-0940,Story,8,U018
BP-0941,Story,1,U002
BP-0942,Tech Debt,3,U018
BP-0943,Story,5,U028
BP-0944,Story,1,U010
BP-0945,Tech Debt,3,U003
BP-0946,Story,1,U026
BP-0947,Bug,0,U009
BP-0948,Story,3,U030
BP-0949,Story,3,U011
BP-0950,Bug,0,U010
BP-0951,Tech Debt,2,U013
BP-0952,Tech Debt,8,U017
BP-0953,Story,1,U022
BP-0954,Bug,0,U029
BP-0955,Story,5,U012
BP-0956,Bug,0,U010
BP-0957,Story,5,U021
BP-0958,Tech Debt,3,U003
BP-0959,Story,2,U004
BP-0960,Story,3,U006
BP-0961,Story,8,U005
BP-0962,Bug,0,U012
BP-0963,Bug,0,U030
BP-0964,Story,1,U013
BP-0965,Story,5,U014
BP-0966,Story,2,U021
BP-0967,Tech Debt,3,U009
BP-0968,Story,2,U014
BP-0969,Tech Debt,2,U014
BP-0970,Story,8,U017
BP-0971,Bug,0,U029
BP-0972,Story,1,U003
BP-0973,Tech Debt,2,U006
BP-0974,Story,1,U010
BP-0975,Bug,0,U002
BP-0976,Story,8,U001
BP-0977,Story,2,U011
BP-0978,Bug,0,U017
BP-0979,Bug,0,U005
BP-0980,Story,5,U002
BP-0981,Story,5,U022
BP-0982,Bug,0,U006
BP-0983,Tech Debt,8,U028
BP-0984,Story,1,U019
BP-0985,Story,8,U030
BP-0986,Story,3,U025
BP-0987,Bug,0,U022
BP-0988,Story,5,U029
BP-0989,Story,1,U010
BP-0990,Story,3,U009
BP-0991,Tech Debt,5,U014
BP-0992,Story,8,U013
BP-0993,Bug,0,U005
BP-0994,Story,8,U030
BP-0995,Story,3,U018
BP-0996,Bug,0,U020
BP-0997,Story,1,U021
BP-0998,Story,2,U019
BP-0999,Story,3,U002
BP-1000,Story,2,U002
BP-1001,Story,3,U017
BP-1002,Story,3,U019
BP-1003,Story,5,U026
BP-1004,Bug,0,U027
BP-1005,Story,2,U004
BP-1006,Story,8,U014
BP-1007,Tech Debt,2,U003
BP-1008,Story,2,U009
BP-1009,Story,8,U002
BP-1010,Tech Debt,2,U017
BP-1011,Story,8,U025
BP-1012,Bug,0,U001
BP-1013,Tech Debt,3,U017
BP-1014,Story,5,U005
BP-1015,Tech Debt,5,U020
BP-1016,Bug,0,U009
BP-1017,Bug,0,U011
BP-1018,Story,3,U018
BP-1019,Bug,0,U003
BP-1020,Tech Debt,5,U027
BP-1021,Bug,0,U028
BP-1022,Story,1,U019
BP-1023,Story,5,U026
BP-1024,Story,8,U027
BP-1025,Bug,0,U013
BP-1026,Story,2,U009
BP-1027,Tech Debt,1,U003
BP-1028,Story,1,U027
BP-1029,Story,3,U011
BP-1030,Story,5,U003
BP-1031,Story,8,U021
BP-1032,Story,1,U029
BP-1033,Bug,0,U012
BP-1034,Story,2,U014
BP-1035,Story,5,U018
BP-1036,Story,3,U001
BP-1037,Story,8,U028
BP-1038,Story,8,U010
BP-1039,Story,8,U028
BP-1040,Story,5,U013
BP-1041,Bug,0,U005
BP-1042,Bug,0,U018
BP-1043,Bug,0,U012
BP-1044,Bug,0,U022
BP-1045,Tech Debt,5,U001
BP-1046,Tech Debt,5,U014
BP-1047,Story,5,U013
BP-1048,Story,8,U001
BP-1049,Bug,0,U026
BP-1050,Story,8,U017
BP-1051,Bug,0,U021
BP-1052,Story,3,U003
BP-1053,Bug,0,U006
BP-1054,Story,5,U020
BP-1055,Story,2,U027
BP-1056,Tech Debt,5,U020
BP-1057,Tech Debt,5,U013
BP-1058,Story,3,U013
BP-1059,Bug,0,U003
BP-1060,Bug,0,U030
BP-1061,Bug,0,U005
BP-1062,Bug,0,U019
BP-1063,Story,8,U004
BP-1064,Story,1,U022
BP-1065,Story,3,U001
BP-1066,Story,5,U029
BP-1067,Story,2,U021
BP-1068,Story,1,U002
BP-1069,Bug,0,U018
BP-1070,Story,1,U001
BP-1071,Story,5,U006
BP-1072,Story,8,U002
BP-1073,Bug,0,U001
BP-1074,Bug,0,U014
BP-1075,Tech Debt,5,U014
BP-1076,Bug,0,U029
BP-1077,Tech Debt,3,U020
BP-1078,Bug,0,U022
BP-1079,Bug,0,U019
BP-1080,Bug,0,U019
BP-1081,Story,1,U010
BP-1082,Story,2,U025
BP-1083,Bug,0,U022
BP-1084,Bug,0,U004
BP-1085,Story,5,U004
BP-1086,Story,5,U012
BP-1087,Story,5,U018
BP-1088,Story,3,U005
BP-1089,Story,1,U025
BP-1090,Story,1,U013
BP-1091,Story,3,U026
BP-1092,Bug,0,U004
BP-1093,Story,8,U018
BP-1094,Story,2,U014
BP-1095,Bug,0,U011
BP-1096,Story,2,U019
BP-1097,Bug,0,U022
BP-1098,Story,5,U027
BP-1099,Story,5,U003
BP-1100,Story,2,U027
BP-1101,Bug,0,U029
BP-1102,Tech Debt,1,U030
BP-1103,Bug,0,U020
BP-1104,Story,1,U027
BP-1105,Tech Debt,3,U026
BP-1106,Story,5,U013
BP-1107,Tech Debt,8,U005
BP-1108,Tech Debt,5,U020
BP-1109,Story,2,U017
BP-1110,Story,3,U029
BP-1111,Story,3,U003
BP-1112,Tech Debt,8,U014
BP-1113,Story,5,U010
BP-1114,Bug,0,U003
BP-1115,Bug,0,U020
BP-1116,Bug,0,U009
BP-1117,Tech Debt,3,U019
BP-1118,Story,1,U030
BP-1119,Story,3,U020
BP-1120,Story,1,U027
BP-1121,Bug,0,U017
BP-1122,Tech Debt,8,U017
BP-1123,Story,2,U025
BP-1124,Story,3,U026
BP-1125,Bug,0,U010
BP-1126,Bug,0,U019
BP-1127,Story,5,U001
BP-1128,Story,2,U009
BP-1129,Story,3,U009
BP-1130,Story,5,U005
BP-1131,Story,2,U030
BP-1132,Story,3,U026
BP-1133,Bug,0,U002
BP-1134,Bug,0,U028
BP-1135,Story,2,U013
BP-1136,Bug,0,U013
BP-1137,Bug,0,U021
BP-1138,Bug,0,U021
BP-1139,Tech Debt,1,U003
BP-1140,Bug,0,U011
BP-1141,Bug,0,U027
BP-1142,Story,8,U030
BP-1143,Story,1,U004
BP-1144,Story,1,U009
BP-1145,Bug,0,U030
BP-1146,Story,8,U027
BP-1147,Bug,0,U029
BP-1148,Story,2,U013
BP-1149,Bug,0,U009
BP-1150,Tech Debt,1,U001
BP-1151,Tech Debt,5,U010
BP-1152,Story,3,U011
BP-1153,Story,1,U027
BP-1154,Story,1,U002
BP-1155,Bug,0,U011
BP-1156,Story,5,U004
BP-1157,Bug,0,U013
BP-1158,Story,2,U011
BP-1159,Tech Debt,2,U028
BP-1160,Story,1,U014
BP-1161,Tech Debt,1,U020
BP-1162,Story,2,U021
BP-1163,Bug,0,U017
BP-1164,Story,3,U027
BP-1165,Story,3,U030
BP-1166,Bug,0,U010
BP-1167,Bug,0,U009
BP-1168,Story,1,U009
BP-1169,Story,8,U002
BP-1170,Bug,0,U025
BP-1171,Bug,0,U001
BP-1172,Story,5,U020
BP-1173,Story,2,U002
BP-1174,Bug,0,U013
BP-1175,Story,8,U029
BP-1176,Story,1,U030
BP-1177,Tech Debt,2,U005
BP-1178,Story,1,U003
BP-1179,Story,5,U002
BP-1180,Tech Debt,5,U006
BP-1181,Story,1,U017
BP-1182,Tech Debt,5,U025
BP-1183,Story,1,U005
BP-1184,Story,8,U012
BP-1185,Bug,0,U013
BP-1186,Bug,0,U025
BP-1187,Story,5,U010
BP-1188,Bug,0,U021
BP-1189,Bug,0,U003
BP-1190,Story,3,U029
BP-1191,Story,3,U025
BP-1192,Bug,0,U025
BP-1193,Story,5,U018
BP-1194,Story,8,U030
BP-1195,Story,5,U017
BP-1196,Story,1,U017
BP-1197,Story,3,U005
BP-1198,Tech Debt,2,U009
BP-1199,Tech Debt,1,U027
BP-1200,Story,8,U017
BP-1201,Story,3,U018
BP-1202,Bug,0,U022
BP-1203,Bug,0,U026
BP-1204,Story,3,U003
BP-1205,Story,2,U026
BP-1206,Tech Debt,1,U006
BP-1207,Story,2,U026
BP-1208,Story,3,U014
BP-1209,Bug,0,U027
BP-1210,Story,8,U014
BP-1211,Story,2,U030
BP-1212,Tech Debt,2,U021
BP-1213,Story,3,U027
BP-1214,Tech Debt,8,U009
BP-1215,Story,5,U022
BP-1216,Story,2,U017
BP-1217,Story,8,U025
BP-1218,Story,5,U013
BP-1219,Story,5,U003
BP-1220,Story,2,U028
BP-1221,Story,8,U010
BP-1222,Bug,0,U030
BP-1223,Tech Debt,1,U013
BP-1224,Story,1,U022
BP-1225,Story,1,U018
BP-1226,Story,2,U012
BP-1227,Bug,0,U019
BP-1228,Bug,0,U030
BP-1229,Story,1,U017
BP-1230,Story,8,U005
BP-1231,Bug,0,U018
BP-1232,Tech Debt,2,U017
BP-1233,Story,5,U027
BP-1234,Story,3,U001
BP-1235,Story,1,U017
BP-1236,Tech Debt,1,U020
BP-1237,Tech Debt,5,U017
BP-1238,Story,8,U028
BP-1239,Story,5,U004
BP-1240,Story,8,U017
BP-1241,Story,1,U028
BP-1242,Story,1,U001
BP-1243,Bug,0,U001
BP-1244,Story,3,U013
BP-1245,Story,2,U013
BP-1246,Bug,0,U027
BP-1247,Bug,0,U001
BP-1248,Tech Debt,1,U022
BP-1249,Story,1,U029
BP-1250,Tech Debt,8,U012
BP-1251,Tech Debt,5,U027
BP-1252,Story,5,U026
BP-1253,Bug,0,U011
BP-1254,Story,3,U019
BP-1255,Tech Debt,1,U014
BP-1256,Story,8,U004
BP-1257,Story,5,U030
BP-1258,Story,3,U026
BP-1259,Story,1,U002
BP-1260,Story,2,U019
BP-1261,Bug,0,U028
BP-1262,Story,2,U001
BP-1263,Story,1,U005
BP-1264,Bug,0,U027
BP-1265,Bug,0,U019
BP-1266,Tech Debt,8,U025
BP-1267,Bug,0,U011
BP-1268,Story,8,U030
BP-1269,Story,5,U021
BP-1270,Story,2,U028
BP-1271,Bug,0,U029
BP-1272,Story,5,U028
BP-1273,Bug,0,U013
BP-1274,Story,5,U017
BP-1275,Story,3,U020
BP-1276,Tech Debt,1,U005
BP-1277,Bug,0,U026
BP-1278,Story,8,U020
BP-1279,Story,3,U020
BP-1280,Bug,0,U004
BP-1281,Bug,0,U002
BP-1282,Tech Debt,8,U019
BP-1283,Bug,0,U003
BP-1284,Story,2,U029
BP-1285,Story,5,U027
BP-1286,Tech Debt,3,U026
BP-1287,Story,1,U005
BP-1288,Bug,0,U005
BP-1289,Story,8,U004
BP-1290,Bug,0,U018
BP-1291,Tech Debt,3,U002
BP-1292,Bug,0,U022
BP-1293,Story,8,U022
BP-1294,Tech Debt,8,U026
BP-1295,Tech Debt,8,U017
BP-1296,Story,2,U012
BP-1297,Bug,0,U026
BP-1298,Bug,0,U019
BP-1299,Bug,0,U004
BP-1300,Bug,0,U014
BP-1301,Story,1,U004
BP-1302,Bug,0,U002
BP-1303,Tech Debt,8,U002
BP-1304,Story,8,U006
BP-1305,Story,3,U026
BP-1306,Story,8,U028
BP-1307,Bug,0,U010
BP-1308,Bug,0,U020
BP-1309,Story,2,U013
BP-1310,Story,2,U019
BP-1311,Story,5,U013
BP-1312,Story,3,U028
BP-1313,Story,2,U025
BP-1314,Story,2,U030
BP-1315,Story,3,U018
BP-1316,Story,3,U001
BP-1317,Story,1,U022
BP-1318,Story,2,U028
BP-1319,Story,1,U001
BP-1320,Tech Debt,8,U014
BP-1321,Story,3,U014
BP-1322,Bug,0,U018
BP-1323,Bug,0,U011
BP-1324,Story,1,U029
BP-1325,Story,8,U014
BP-1326,Tech Debt,2,U011
BP-1327,Story,8,U029
BP-1328,Story,1,U021
BP-1329,Story,2,U006
BP-1330,Tech Debt,1,U028
BP-1331,Bug,0,U030
BP-1332,Story,8,U010
BP-1333,Story,1,U018
BP-1334,Bug,0,U005
BP-1335,Tech Debt,5,U027
BP-1336,Story,2,U027
BP-1337,Bug,0,U027
BP-1338,Bug,0,U006
BP-1339,Story,5,U012
BP-1340,Story,2,U022
BP-1341,Story,2,U018
BP-1342,Tech Debt,1,U003
BP-1343,Bug,0,U011
BP-1344,Bug,0,U010
BP-1345,Story,8,U017
BP-1346,Story,1,U018
BP-1347,Story,3,U011
BP-1348,Bug,0,U029
BP-1349,Story,8,U011
BP-1350,Story,3,U003
BP-1351,Story,1,U019
BP-1352,Story,2,U017
BP-1353,Tech Debt,5,U012
BP-1354,Story,2,U029
BP-1355,Story,8,U020
BP-1356,Tech Debt,5,U011
BP-1357,Story,1,U004
BP-1358,Story,3,U010
BP-1359,Story,2,U025
BP-1360,Story,1,U006
BP-1361,Story,3,U005
BP-1362,Bug,0,U019
BP-1363,Story,5,U004
BP-1364,Bug,0,U028
BP-1365,Story,2,U022
BP-1366,Bug,0,U027
BP-1367,Story,5,U027
BP-1368,Bug,0,U001
BP-1369,Story,8,U026
BP-1370,Story,3,U028
BP-1371,Story,5,U029
BP-1372,Bug,0,U002
BP-1373,Bug,0,U010
BP-1374,Bug,0,U001
BP-1375,Story,1,U014
BP-1376,Story,8,U028
BP-1377,Story,8,U006
BP-1378,Tech Debt,1,U004
BP-1379,Story,1,U022
BP-1380,Bug,0,U022
BP-1381,Bug,0,U011
BP-1382,Story,5,U006
BP-1383,Tech Debt,3,U012
BP-1384,Story,1,U004
BP-1385,Story,8,U026
BP-1386,Story,5,U021
BP-1387,Story,8,U006
BP-1388,Story,2,U011
BP-1389,Story,8,U001
BP-1390,Tech Debt,5,U005
BP-1391,Story,2,U001
BP-1392,Story,8,U012
BP-1393,Story,2,U026
BP-1394,Bug,0,U021
BP-1395,Tech Debt,2,U005
BP-1396,Story,2,U019
BP-1397,Story,5,U001
BP-1398,Bug,0,U003
BP-1399,Story,8,U004
BP-1400,Story,5,U025
BP-1401,Story,5,U012
BP-1402,Story,1,U009
BP-1403,Bug,0,U030
BP-1404,Bug,0,U020
BP-1405,Story,8,U001
BP-1406,Bug,0,U028
BP-1407,Story,2,U011
BP-1408,Bug,0,U019
BP-1409,Story,2,U027
BP-1410,Story,2,U012
BP-1411,Story,8,U004
BP-1412,Story,1,U011
BP-1413,Bug,0,U018
BP-1414,Tech Debt,3,U003
BP-1415,Story,5,U012
BP-1416,Tech Debt,3,U009
BP-1417,Tech Debt,2,U020
BP-1418,Story,1,U013
BP-1419,Story,1,U011
BP-1420,Tech Debt,5,U011
BP-1421,Tech Debt,5,U019
BP-1422,Story,8,U018
BP-1423,Bug,0,U014
BP-1424,Story,5,U020
BP-1425,Story,3,U029
BP-1426,Bug,0,U027
BP-1427,Bug,0,U026
BP-1428,Bug,0,U001
BP-1429,Story,3,U028
BP-1430,Story,1,U011
BP-1431,Story,1,U002
BP-1432,Bug,0,U025
BP-1433,Story,8,U012
BP-1434,Story,1,U017
BP-1435,Story,2,U019
BP-1436,Story,2,U005
BP-1437,Story,2,U029
BP-1438,Bug,0,U010
BP-1439,Bug,0,U022
BP-1440,Tech Debt,5,U004
BP-1441,Story,2,U001
BP-1442,Bug,0,U018
BP-1443,Story,8,U003
BP-1444,Bug,0,U018
BP-1445,Bug,0,U020
BP-1446,Story,2,U003
BP-1447,Story,5,U022
BP-1448,Story,3,U019
BP-1449,Tech Debt,1,U017
BP-1450,Bug,0,U030
BP-1451,Story,2,U021
BP-1452,Bug,0,U029
BP-1453,Story,3,U029
BP-1454,Story,3,U002
BP-1455,Story,8,U001
BP-1456,Story,5,U010
BP-1457,Tech Debt,1,U011
BP-1458,Story,2,U001
BP-1459,Bug,0,U009
BP-1460,Story,1,U003
BP-1461,Story,8,U001
BP-1462,Tech Debt,1,U027
BP-1463,Bug,0,U005
BP-1464,Story,3,U014
BP-1465,Story,8,U014
BP-1466,Story,1,U028
BP-1467,Tech Debt,2,U009
BP-1468,Bug,0,U013
BP-1469,Story,5,U003
BP-1470,Tech Debt,2,U011
BP-1471,Story,8,U014
BP-1472,Story,8,U020
BP-1473,Bug,0,U029
BP-1474,Story,1,U020
BP-1475,Bug,0,U029
BP-1476,Bug,0,U030
BP-1477,Tech Debt,3,U005
BP-1478,Tech Debt,8,U001
BP-1479,Bug,0,U017
BP-1480,Story,8,U030
BP-1481,Story,1,U014
BP-1482,Story,5,U013
BP-1483,Story,8,U020
BP-1484,Story,5,U025
BP-1485,Story,1,U009
BP-1486,Story,3,U010
BP-1487,Bug,0,U028
BP-1488,Tech Debt,1,U014
BP-1489,Bug,0,U025
BP-1490,Bug,0,U020
BP-1491,Story,2,U005
BP-1492,Bug,0,U026
BP-1493,Story,5,U001
BP-1494,Story,2,U002
BP-1495,Story,8,U028
BP-1496,Bug,0,U025
BP-1497,Bug,0,U004
BP-1498,Bug,0,U012
BP-1499,Bug,0,U002
